Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/[url_alvo],21070,0,4,4.471780379686657,1.0299170000109825,57.60070900001324,41625.04613194115,229.43126406517416,0.0,4,5,6,6,7,8,10,11,20,28,58
,Aggregated,21070,0,4,4.471780379686657,1.0299170000109825,57.60070900001324,41625.04613194115,229.43126406517416,0.0,4,5,6,6,7,8,10,11,20,28,58
