Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/[url_alvo],3220,0,4200.0,4637.640671633547,399.6045829999275,12458.493500000031,35243.35683229814,35.18623385140731,0.0,4200,4600,4900,5100,7300,8700,9400,9700,11000,12000,12000
,Aggregated,3220,0,4200.0,4637.640671633547,399.6045829999275,12458.493500000031,35243.35683229814,35.18623385140731,0.0,4200,4600,4900,5100,7300,8700,9400,9700,11000,12000,12000
